Year,Field,Laureates
1910,medicine,Albrecht Kossel
1910,literature,Paul Johann Ludwig Heyse
1910,peace,Bureau international permanent de la Paix (Permanent International Peace Bureau) 
1909,physics,Guglielmo Marconi and Karl Ferdinand Braun
1909,chemistry,Wilhelm Ostwald
1909,medicine,Emil Theodor Kocher
1909,literature,Selma Ottilia Lovisa Lagerlöf
1909,peace,Auguste Marie François Beernaert
1909,peace,"Paul Henri Benjamin Balluet d'Estournelles de Constant, Baron de Constant de Rebecque"
1908,physics,Gabriel Lippmann
1908,chemistry,Ernest Rutherford
1908,medicine,Ilya Ilyich Mechnikov and Paul Ehrlich
1908,literature,Rudolf Christoph Eucken
1908,peace,Klas Pontus Arnoldson
1908,peace,Fredrik Bajer
1907,physics,Albert Abraham Michelson
1907,chemistry,Eduard Buchner
1907,medicine,Charles Louis Alphonse Laveran
1907,literature,Rudyard Kipling
1907,peace,Ernesto Teodoro Moneta
1907,peace,Louis Renault
1906,physics,Joseph John Thomson
1906,chemistry,Henri Moissan
1906,medicine,Camillo Golgi and Santiago Ramón y Cajal
1906,literature,Giosuè Carducci
1906,peace,Theodore Roosevelt
1905,physics,Philipp Eduard Anton von Lenard
1905,chemistry,Johann Friedrich Wilhelm Adolf von Baeyer
1905,medicine,Robert Koch
1905,literature,Henryk Sienkiewicz
1905,peace,"Baroness Bertha Sophie Felicita von Suttner, née Countess Kinsky von Chinic und Tettau"
1904,physics,Lord Rayleigh (John William Strutt)
1904,chemistry,Sir William Ramsay
1904,medicine,Ivan Petrovich Pavlov
1904,literature,Frédéric Mistral
1904,literature,José Echegaray y Eizaguirre
1904,peace,Institut de droit international (Institute of International Law) 
1903,physics,Antoine Henri Becquerel
1903,physics,"Pierre Curie and Marie Curie, née Sklodowska"
1903,chemistry,Svante August Arrhenius
1903,medicine,Niels Ryberg Finsen
1903,literature,Bjørnstjerne Martinus Bjørnson
1903,peace,William Randal Cremer
1902,physics,Hendrik Antoon Lorentz and Pieter Zeeman
1902,chemistry,Hermann Emil Fischer
1902,medicine,Ronald Ross
1902,literature,Christian Matthias Theodor Mommsen
1902,peace,Élie Ducommun
1902,peace,Charles Albert Gobat
1901,physics,Wilhelm Conrad Röntgen
1901,chemistry,Jacobus Henricus van 't Hoff
1901,medicine,Emil Adolf von Behring
1901,literature,Sully Prudhomme
1901,peace,Jean Henry Dunant
1901,peace,Frédéric Passy
